Model,Starting Price,Year
"Toyota Prius Prime              ","$32,675",2024
"Toyota GR86              ","$28,400",2023
"Toyota Mirai              ",Priceunavailable,2024
"Toyota GR Supra              ","$45,540",2024
"Toyota Highlander              ","$39,120",2024
"Toyota Highlander Hybrid              ","$40,720",2024
"Toyota Prius              ","$27,650",2024
"Toyota Corolla Hatchback              ","$23,355",2024
"Toyota Crown              ","$40,050",2024
"Toyota Corolla Hybrid              ","$23,300",2024
"Toyota GR Corolla              ","$36,100",2024
"Toyota Corolla              ","$21,900",2024
"Toyota 4Runner              ","$40,455",2024
"Toyota Camry Hybrid              ","$28,855",2024
"Tesla Model Y              ","$43,990",2023
"Tesla Model X              ","$79,990",2023
"Subaru BRZ              ","$28,595",2023
"Volkswagen ID.4              ","$38,995",2023
"Toyota Camry              ","$26,420",2024
"Volkswagen Tiguan              ","$28,505",2024
"Volkswagen Taos              ","$23,995",2024
"Tesla Model S              ","$74,990",2023
"Volkswagen Atlas Cross Sport              ","$36,715",2024
"Volkswagen Golf GTI              ","$31,765",2024
"Volkswagen Atlas              ","$37,725",2024
"Subaru Impreza              ","$22,995",2024
"Volkswagen Golf R              ","$45,455",2024
"Volkswagen Jetta              ","$20,655",2023
"RAM ProMaster 3500 Window Van              ","$60,430",2024
"Porsche Macan              ","$60,900",2024
"RAM ProMaster 1500              ","$44,170",2023
"Tesla Model 3              ","$38,990",2023
"Porsche Taycan              ","$111,700",2024
"Porsche Cayenne E-Hybrid              ","$91,700",2024
"Porsche Cayenne E-Hybrid Coupe              ","$95,700",2024
"RAM ProMaster 2500 Window Van              ","$56,495",2024
"Porsche Taycan Cross Turismo              ","$101,900",2024
"Porsche Panamera Sport Turismo              ","$103,200",2023
"Polestar 2              ","$49,900",2024
"Porsche 718 Spyder              ","$160,700",2024
"Porsche Cayenne              ","$102,100",2024
"RAM ProMaster 2500              ","$48,455",2023
"Porsche Panamera E-Hybrid              ","$109,000",2023
"Porsche Panamera E-Hybrid Sport Turismo              ","$113,000",2023
"Porsche 718 Cayman              ","$162,000",2024
"Porsche 718 Boxster              ","$70,400",2024
"Porsche 911              ","$114,400",2024
"RAM 3500              ","$48,875",2024
"RAM 1500 Classic              ","$31,270",2023
"RAM 2500              ","$46,740",2024
"RAM 1500              ","$38,570",2024
"Maserati Levante              ","$102,000",2024
"Nissan Frontier              ","$29,770",2024
"Mazda MX-30 EV              ","$34,110",2023
"Lucid Air              ","$125,600",2023
"Maserati Grecale              ","$108,000",2024
"Mazda CX-90 PHEV              ","$47,445",2024
"Mercedes-Benz Sprinter 1500              ","$43,500",2023
"Honda Odyssey              ","$37,840",2024
"Honda Ridgeline              ","$38,800",2023
"Mercedes-Benz Sprinter 2500              ","$49,900",2024
"Ford E-Transit              ","$49,995",2024
"Mercedes-Benz Metris              ","$39,600",2023
"Ford Transit-250              ","$47,360",2024
"Ford Ranger              ","$32,565",2024
"Mercedes-Benz Sprinter 3500XD              ","$58,500",2024
"Mercedes-Benz Sprinter 3500              ","$52,800",2024
"Mercedes-Benz Sprinter 4500              ","$61,000",2024
"Honda Pilot              ","$37,090",2024
"Ford Transit-350              ","$48,615",2024
